Cancer,Age,Gender,M,N,OStime,Stage,Status,Treatment,TumorvsNormal,T
BRCA,0.03567409579850147,0.12316715184661198,0.23808168111962566,0.025385836694960917,0.07328959075679563,0.11957054074736581,0.049624911208586885,0.061524747105284126,0.21007166925613338,0.06360976487452301
CESC,0.08673463408100834,0.0,0.17899426579580902,0.0740822285395227,0.035926882491331996,0.0,0.12187949454407278,0.09247098788026006,0.32563813710873485,0.08427335925789224
CHOL,0.12326683413583013,0.06816729715757812,0.06743145087490807,0.0958677857740388,0.0606923539025576,0.13741606308392737,0.11522041304667265,0.03770326246766355,0.17523689134752726,0.11899764303196757
DLBC,0.12682441294026514,0.2506984967959472,0.0,0.0,0.19183592894662638,0.0,0.3461635396558849,0.08447760923817159,0.0,0.0
ESCA,0.22283642562223382,0.07661893546581494,0.07881810283883003,0.11050965240372126,0.16126832921570675,0.07136612729268062,0.08181484934686017,0.08294594384752668,0.0,0.11382162472509294
HNSC,0.03854338959789689,0.06381611190181419,0.0,0.03455900284327517,0.13450645338227843,0.08274412740530625,0.04791565231660381,0.053246611803197286,0.5240149946746055,0.020653647228495893
LAML,0.10509149010856779,0.2353523807639359,0.0,0.0,0.2616539522165363,0.0,0.22165671294596673,0.17624543899087194,0.0,0.0
LIHC,0.07833733961799214,0.06903951092331208,0.18473710277520217,0.1367302757287124,0.0628543882340772,0.046274520962199674,0.04807219979560892,0.047427125398511266,0.3036798509719277,0.022847679150900937
LUAD,0.02775535855619342,0.09345749293727322,0.0571400618794744,0.05142853705534874,0.03463995254455149,0.052822227987662486,0.05802624701690541,0.040446899228361595,0.435726679336825,0.14855653420583295
OV,0.3116110326192637,0.0,0.0,0.0,0.27863083062607197,0.0,0.09237146185416228,0.3173866425593327,0.0,0.0
PAAD,0.04995299372776208,0.021481796438253986,0.07015933036198552,0.12879965171797084,0.04367434387300198,0.05894738747767578,0.1243041118100675,0.05548732645041374,0.33501845292759336,0.11217459831431108
PRAD,0.05797577033846394,0.0,0.0,0.0668166190797715,0.026428099593948255,0.0,0.26644275947561114,0.03691282626976203,0.49007737690232045,0.05534653495111192
STAD,0.07163465182670611,0.030191757277469602,0.04494913690729835,0.05591572826694439,0.06910964689715936,0.0946151099055058,0.07508047001373121,0.045377192286483126,0.410881988948662,0.10224430860631858
THCA,0.06582386052055875,0.020692071568141433,0.18856325528518844,0.14376649652395496,0.10511819879898938,0.08478555887970757,0.06923107638316653,0.055000105255800014,0.18867583007732291,0.0783435341816395
UVM,0.11759059339154684,0.09267942486357043,0.14560928813789223,0.0,0.14292120029422598,0.07136154264057616,0.24031653486610746,0.10224414274081074,0.0,0.08727725971213096
